uf,ano,icms_bruto,deducao_fundeb_rreo,iss_df,dca_icms_bruta,dca_fecp_bruta,dca_outras_deducoes,desvio_rreo_dca_pct,formula,fonte
MG,2024,81523297330.91,15822695854.91,0.0,80562667364.45,969232274.57,8602308.11,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
MG,2025,87712076044.45,17082224692.15,0.0,86617805155.56,1104839360.82,10568471.93,-1.739645183494149e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
MS,2024,17030658703.33,3277966616.18,0.0,23364281571.17,88055884.05,6421678751.89,1.1199500066545031e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
MS,2025,17621634610.85,3528097539.06,0.0,25144810779.77,81501844.37,7604678013.29,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
MT,2024,23086882922.46,4529225279.07,0.0,33003111069.92,197933515.69,10114161663.15,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
MT,2025,26030429022.27,5118209971.17,0.0,41011897180.52,181277704.78,15162745863.03,1.46547614038992e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
PA,2024,24394691448.02,6207173909.4,0.0,24399067014.81,0.0,4375566.79,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
PA,2025,25079145957.84,6554769111.14,0.0,25081072565.66,0.0,1926607.82,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
PB,2024,9713259973.35,3307782325.64,0.0,9587948823.7,127722366.2,2411216.55,-1.963654466209737e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
PB,2025,10554097792.24,3590298516.51,0.0,10419713017.45,137689182.88,3304408.0900000003,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
PE,2024,26156973043.44,6776270559.73,0.0,25908490948.15,407643079.79,159160984.5,-1.458386358119408e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
