uf,ano,iss_liquida,n_declarantes,n_universo,cobertura_pct,iss_imputado,formula,fonte
RO,2024,589442360.6999998,52,52,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
RR,2024,232495015.47,15,15,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
RS,2024,5534262153.64,497,497,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
SC,2024,5017645190.920001,293,295,99.32,26728545.66278451,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
SE,2024,817388765.7300001,75,75,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
SP,2024,61625375645.49999,645,645,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
TO,2024,655502063.52,137,139,98.56,1300399.1593074324,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
AC,2025,229350157.41999996,20,22,90.91,1605220.2008022503,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
AL,2025,1014312943.39,91,102,89.22,22434398.74954611,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
AM,2025,1907628704.2899997,60,62,96.77,3945845.306705327,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
AP,2025,197053132.71000004,13,16,81.25,17174282.14294938,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
BA,2025,5622550257.92,408,417,97.84,24325743.74891665,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
CE,2025,3124132682.77,184,184,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
DF,2025,3862618982.16,1,1,100.0,0.0,"cod_conta='ISSLiquidoExcetoTransferenciasEFUNDEB', coluna='TOTAL (ÚLTIMOS 12 MESES)', anexo='RREO-Anexo 03' (RREO 6o bim.); LC 214 art. 350, III",RREO-DF
ES,2025,3034687529.87,78,78,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
GO,2025,3679240036.3199997,244,246,99.19,2652249.292360965,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
MA,2025,1963054464.34,212,217,97.7,9154374.178071694,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
MG,2025,11386998348.84,852,853,99.88,2468621.3696311503,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
