esfera,uf,ano,g_aquisicoes,g_339030,g_339032,g_339033,g_339036,g_339037,g_339039,g_339040,unidade,estagio,metodo,formula,fonte
estadual,RO,2024,2756543462.00,592710907.29,59265819.36,67095130.07,73322263.88,95768995.54,1642973237.94,225407107.92,R$ correntes do exercicio,Despesas Empenhadas,DCA integral do ente (hash em _seed_manifest.json),"G_central = SUM(valor | cod_conta in elementos 3.3.90.30+3.3.90.32+3.3.90.33+3.3.90.36+3.3.90.37+3.3.90.39+3.3.90.40, coluna='Despesas Empenhadas')","SICONFI DCA 'DCA-Anexo I-D' (https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca); LC 214 arts. 472-473 (aquisições; folha fora, art. 4o); elementos de despesa Portaria Interm. STN/SOF 163/2001 Anexo II (MTO 4.6.2.1.4); DCA CONSOLIDADA do ente (instituicao unica — sem abertura adm. direta x estatais dependentes; perimetros diferem apenas pelo conjunto de elementos); id_ente=RO"
estadual,RR,2024,2108523316.39,186141311.73,95098853.74,33073212.12,21813314.01,203838813.66,1490991385.24,77566425.89,R$ correntes do exercicio,Despesas Empenhadas,DCA integral do ente (hash em _seed_manifest.json),"G_central = SUM(valor | cod_conta in elementos 3.3.90.30+3.3.90.32+3.3.90.33+3.3.90.36+3.3.90.37+3.3.90.39+3.3.90.40, coluna='Despesas Empenhadas')","SICONFI DCA 'DCA-Anexo I-D' (https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca); LC 214 arts. 472-473 (aquisições; folha fora, art. 4o); elementos de despesa Portaria Interm. STN/SOF 163/2001 Anexo II (MTO 4.6.2.1.4); DCA CONSOLIDADA do ente (instituicao unica — sem abertura adm. direta x estatais dependentes; perimetros diferem apenas pelo conjunto de elementos); id_ente=RR"
estadual,RS,2024,11211060181.35,1153753343.56,48796257.48,54592775.22,465796621.33,721007299.21,8122063012.55,645050872.00,R$ correntes do exercicio,Despesas Empenhadas,DCA integral do ente (hash em _seed_manifest.json),"G_central = SUM(valor | cod_conta in elementos 3.3.90.30+3.3.90.32+3.3.90.33+3.3.90.36+3.3.90.37+3.3.90.39+3.3.90.40, coluna='Despesas Empenhadas')","SICONFI DCA 'DCA-Anexo I-D' (https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca); LC 214 arts. 472-473 (aquisições; folha fora, art. 4o); elementos de despesa Portaria Interm. STN/SOF 163/2001 Anexo II (MTO 4.6.2.1.4); DCA CONSOLIDADA do ente (instituicao unica — sem abertura adm. direta x estatais dependentes; perimetros diferem apenas pelo conjunto de elementos); id_ente=RS"
estadual,SC,2024,7415334712.18,1231916214.91,22644582.61,50437749.79,299176464.77,771126105.59,4631870369.99,408163224.52,R$ correntes do exercicio,Despesas Empenhadas,DCA integral do ente (hash em _seed_manifest.json),"G_central = SUM(valor | cod_conta in elementos 3.3.90.30+3.3.90.32+3.3.90.33+3.3.90.36+3.3.90.37+3.3.90.39+3.3.90.40, coluna='Despesas Empenhadas')","SICONFI DCA 'DCA-Anexo I-D' (https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca); LC 214 arts. 472-473 (aquisições; folha fora, art. 4o); elementos de despesa Portaria Interm. STN/SOF 163/2001 Anexo II (MTO 4.6.2.1.4); DCA CONSOLIDADA do ente (instituicao unica — sem abertura adm. direta x estatais dependentes; perimetros diferem apenas pelo conjunto de elementos); id_ente=SC"
estadual,SE,2024,3900371143.35,205571675.01,105074618.95,187568784.11,275040959.44,406164000.14,2511201394.95,209749710.75,R$ correntes do exercicio,Despesas Empenhadas,DCA integral do ente (hash em _seed_manifest.json),"G_central = SUM(valor | cod_conta in elementos 3.3.90.30+3.3.90.32+3.3.90.33+3.3.90.36+3.3.90.37+3.3.90.39+3.3.90.40, coluna='Despesas Empenhadas')","SICONFI DCA 'DCA-Anexo I-D' (https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca); LC 214 arts. 472-473 (aquisições; folha fora, art. 4o); elementos de despesa Portaria Interm. STN/SOF 163/2001 Anexo II (MTO 4.6.2.1.4); DCA CONSOLIDADA do ente (instituicao unica — sem abertura adm. direta x estatais dependentes; perimetros diferem apenas pelo conjunto de elementos); id_ente=SE"
estadual,SP,2024,35500952900.86,8172486291.35,80917038.27,1536713255.44,1017242857.47,3060327862.78,17684767425.84,3948498169.71,R$ correntes do exercicio,Despesas Empenhadas,DCA integral do ente (hash em _seed_manifest.json),"G_central = SUM(valor | cod_conta in elementos 3.3.90.30+3.3.90.32+3.3.90.33+3.3.90.36+3.3.90.37+3.3.90.39+3.3.90.40, coluna='Despesas Empenhadas')","SICONFI DCA 'DCA-Anexo I-D' (https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca); LC 214 arts. 472-473 (aquisições; folha fora, art. 4o); elementos de despesa Portaria Interm. STN/SOF 163/2001 Anexo II (MTO 4.6.2.1.4); DCA CONSOLIDADA do ente (instituicao unica — sem abertura adm. direta x estatais dependentes; perimetros diferem apenas pelo conjunto de elementos); id_ente=SP"
estadual,TO,2024,2970238895.37,350375132.86,131901560.07,190227423.27,68931300.95,117248962.48,1904287084.14,207267431.60,R$ correntes do exercicio,Despesas Empenhadas,DCA integral do ente (hash em _seed_manifest.json),"G_central = SUM(valor | cod_conta in elementos 3.3.90.30+3.3.90.32+3.3.90.33+3.3.90.36+3.3.90.37+3.3.90.39+3.3.90.40, coluna='Despesas Empenhadas')","SICONFI DCA 'DCA-Anexo I-D' (https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca); LC 214 arts. 472-473 (aquisições; folha fora, art. 4o); elementos de despesa Portaria Interm. STN/SOF 163/2001 Anexo II (MTO 4.6.2.1.4); DCA CONSOLIDADA do ente (instituicao unica — sem abertura adm. direta x estatais dependentes; perimetros diferem apenas pelo conjunto de elementos); id_ente=TO"
municipal,BR,2024,390151601894.23,82696807142.34,13231937942.13,2566802895.47,14514827914.87,9490362332.91,257429619627.47,10221244039.04,R$ correntes do exercicio,Despesas Empenhadas,"amostra capitais+top200 (200 medidos; 49.7% da populacao municipal ex-DF) + extrapolacao pos-estratificada (gpc 2023 x pop resto x infl=1.0893, n_comuns=119); APROXIMACAO declarada (fallback FINBRA/hCaptcha) — sensibilidades em g_municipal_sensibilidade.csv","G_M = SUM(amostra) + SUM_s(pop_resto_s*gpc_s_2023)*infl; G_central = SUM(valor | cod_conta in elementos 3.3.90.30+3.3.90.32+3.3.90.33+3.3.90.36+3.3.90.37+3.3.90.39+3.3.90.40, coluna='Despesas Empenhadas')","SICONFI DCA 'DCA-Anexo I-D' (https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca); LC 214 arts. 472-473 (aquisições; folha fora, art. 4o); elementos de despesa Portaria Interm. STN/SOF 163/2001 Anexo II (MTO 4.6.2.1.4); DCA CONSOLIDADA do ente (instituicao unica — sem abertura adm. direta x estatais dependentes; perimetros diferem apenas pelo conjunto de elementos); amostra + subamostra aleatoria v1 2023"
uniao,BR,2024,99724230993.63,33673417244.42,2275050898.01,2595303326.01,2706948125.21,14119370467.41,36407555146.25,7946585786.32,R$ correntes do exercicio,Despesas Empenhadas,DCA integral do ente (id_ente=1),"G_central = SUM(valor | cod_conta in elementos 3.3.90.30+3.3.90.32+3.3.90.33+3.3.90.36+3.3.90.37+3.3.90.39+3.3.90.40, coluna='Despesas Empenhadas')","SICONFI DCA 'DCA-Anexo I-D' (https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca); LC 214 arts. 472-473 (aquisições; folha fora, art. 4o); elementos de despesa Portaria Interm. STN/SOF 163/2001 Anexo II (MTO 4.6.2.1.4); DCA CONSOLIDADA do ente (instituicao unica — sem abertura adm. direta x estatais dependentes; perimetros diferem apenas pelo conjunto de elementos); id_ente=1 (Governo Federal)"
estadual,AC,2025,2598839512.89,420551820.64,25393531.77,112159018.91,16744248.61,431774604.34,1446627255.47,145589033.15,R$ correntes do exercicio,Despesas Empenhadas,DCA integral do ente (hash em _seed_manifest.json),"G_central = SUM(valor | cod_conta in elementos 3.3.90.30+3.3.90.32+3.3.90.33+3.3.90.36+3.3.90.37+3.3.90.39+3.3.90.40, coluna='Despesas Empenhadas')","SICONFI DCA 'DCA-Anexo I-D' (https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca); LC 214 arts. 472-473 (aquisições; folha fora, art. 4o); elementos de despesa Portaria Interm. STN/SOF 163/2001 Anexo II (MTO 4.6.2.1.4); DCA CONSOLIDADA do ente (instituicao unica — sem abertura adm. direta x estatais dependentes; perimetros diferem apenas pelo conjunto de elementos); id_ente=AC"
