uf,ano,fecp,fecp_bruta,deducao_fundeb,outras_deducoes,conta,formula,fonte
PB,2024,127717822.17,127722366.2,25543564.43,4544.03,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PB,2025,137610618.72,137689182.88,27522123.74,78564.16,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PE,2024,407626543.25,407643079.79,81525308.65,16536.54,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PE,2025,445915007.21,445915226.64,89183001.44,219.43,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PI,2024,83083393.03,83083393.03,16616678.58,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PI,2025,88101586.81,88101586.81,17620317.16,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PR,2024,900943640.3100001,905843174.07,180188728.13,4899533.76,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PR,2025,852205551.37,861230961.67,170441110.45,9025410.3,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RJ,2024,6661650863.71,6661853131.81,1332330172.23,202268.1,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RJ,2025,6802625329.04,6803255253.59,1360525065.65,629924.55,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
