uf,ano,icms_liquido_ex_fundeb_cotaparte_rs,deducao_fundeb_total_rs,iss_liquido_ex_fundeb_rs,fonte
AL,2024,8488852336.33,3012748597.68,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
AL,2025,9008104970.86,3244850522.08,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
SE,2024,5608879032.77,2406444715.95,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
SE,2025,6095788956.69,2681359452.18,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
BA,2024,39497020151.68,9767048149.8,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
BA,2025,41998968646.68,10535359199.19,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
MG,2024,81523297330.91,15822695854.91,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
MG,2025,87712076044.45,17082224692.15,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
ES,2024,20888555332.12,3943506663.16,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
ES,2025,22615846716.82,4343754398.49,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
