cod_ibge,uf,ano
1303700,AM,2019
1303700,AM,2020
1303700,AM,2021
1303700,AM,2022
1303700,AM,2023
1303809,AM,2019
1303809,AM,2020
1303809,AM,2021
1303809,AM,2022
1303809,AM,2023
1303908,AM,2019
1303908,AM,2020
1303908,AM,2021
1303908,AM,2022
1303908,AM,2023
1303957,AM,2019
1303957,AM,2020
1303957,AM,2021
1303957,AM,2022
1303957,AM,2023
1304005,AM,2019
1304005,AM,2020
1304005,AM,2021
1304005,AM,2022
1304005,AM,2023
1304062,AM,2019
1304062,AM,2020
1304062,AM,2021
1304062,AM,2022
1304062,AM,2023
1304104,AM,2019
1304104,AM,2020
1304104,AM,2021
1304104,AM,2022
1304104,AM,2023
1304203,AM,2019
1304203,AM,2020
1304203,AM,2021
1304203,AM,2022
1304203,AM,2023
1304237,AM,2019
1304237,AM,2020
1304237,AM,2021
1304237,AM,2022
1304237,AM,2023
1304260,AM,2019
1304260,AM,2020
1304260,AM,2021
1304260,AM,2022
1304260,AM,2023
1304302,AM,2019
1304302,AM,2020
1304302,AM,2021
1304302,AM,2022
1304302,AM,2023
1304401,AM,2019
1304401,AM,2020
1304401,AM,2021
1304401,AM,2022
1304401,AM,2023
1400027,RR,2019
1400027,RR,2020
1400027,RR,2021
1400027,RR,2022
1400027,RR,2023
1400050,RR,2019
1400050,RR,2020
1400050,RR,2021
1400050,RR,2022
1400050,RR,2023
1400100,RR,2019
1400100,RR,2020
1400100,RR,2021
1400100,RR,2022
1400100,RR,2023
1400159,RR,2019
1400159,RR,2020
1400159,RR,2021
1400159,RR,2022
1400159,RR,2023
1400175,RR,2019
1400175,RR,2020
1400175,RR,2021
1400175,RR,2022
1400175,RR,2023
1400209,RR,2019
1400209,RR,2020
1400209,RR,2021
1400209,RR,2022
1400209,RR,2023
1400233,RR,2019
1400233,RR,2020
1400233,RR,2021
1400233,RR,2022
1400233,RR,2023
1400282,RR,2019
1400282,RR,2020
1400282,RR,2021
1400282,RR,2022
1400282,RR,2023
1400308,RR,2019
1400308,RR,2020
1400308,RR,2021
1400308,RR,2022
1400308,RR,2023
1400407,RR,2019
1400407,RR,2020
1400407,RR,2021
1400407,RR,2022
1400407,RR,2023
1400456,RR,2019
1400456,RR,2020
1400456,RR,2021
1400456,RR,2022
1400456,RR,2023
1400472,RR,2019
1400472,RR,2020
1400472,RR,2021
1400472,RR,2022
1400472,RR,2023
1400506,RR,2019
1400506,RR,2020
1400506,RR,2021
1400506,RR,2022
1400506,RR,2023
1400605,RR,2019
1400605,RR,2020
1400605,RR,2021
1400605,RR,2022
1400605,RR,2023
1400704,RR,2019
1400704,RR,2020
1400704,RR,2021
1400704,RR,2022
1400704,RR,2023
1500107,PA,2019
1500107,PA,2020
1500107,PA,2021
1500107,PA,2022
1500107,PA,2023
1500131,PA,2019
1500131,PA,2020
1500131,PA,2021
1500131,PA,2022
1500131,PA,2023
1500206,PA,2019
1500206,PA,2020
1500206,PA,2021
1500206,PA,2022
1500206,PA,2023
1500305,PA,2019
1500305,PA,2020
1500305,PA,2021
1500305,PA,2022
1500305,PA,2023
1500347,PA,2019
1500347,PA,2020
1500347,PA,2021
1500347,PA,2022
1500347,PA,2023
1500404,PA,2019
1500404,PA,2020
1500404,PA,2021
1500404,PA,2022
1500404,PA,2023
1500503,PA,2019
1500503,PA,2020
1500503,PA,2021
1500503,PA,2022
1500503,PA,2023
1500602,PA,2019
1500602,PA,2020
1500602,PA,2021
1500602,PA,2022
1500602,PA,2023
